ProductKey	sku	product_name	product_class_id	subcategory	category	department	product_family	size	brandName	supplier
24	42104001	Tri-State Asparagus	13	Fresh Vegetables	Vegetables	Produce	Food	14.8	Tri-State	Rowan Warehouse
25	42105001	Tri-State Baby Onion	13	Fresh Vegetables	Vegetables	Produce	Food	11.8	Tri-State	Rowan Warehouse
26	42106001	Tri-State Beets	13	Fresh Vegetables	Vegetables	Produce	Food	19.6	Tri-State	Rowan Warehouse
27	42107001	Tri-State Broccoli	13	Fresh Vegetables	Vegetables	Produce	Food	8.3	Tri-State	Rowan Warehouse
28	42108001	Tri-State Canned Peanuts	1	Nuts	Specialty	Produce	Food	18.2	Tri-State	Rowan Warehouse
29	42109001	Tri-State Cantelope	99	Fresh Fruit	Fruit	Produce	Food	16	Tri-State	Rowan Warehouse
30	42110001	Tri-State Cauliflower	13	Fresh Vegetables	Vegetables	Produce	Food	5.63	Tri-State	Rowan Warehouse
31	42111001	Tri-State Corn on the Cob	13	Fresh Vegetables	Vegetables	Produce	Food	10.6	Tri-State	Rowan Warehouse
32	42112001	Tri-State Dried Mushrooms	13	Fresh Vegetables	Vegetables	Produce	Food	15.6	Tri-State	Rowan Warehouse
33	42113001	Tri-State Elephant Garlic	13	Fresh Vegetables	Vegetables	Produce	Food	15.1	Tri-State	Rowan Warehouse
34	42114001	Tri-State Fancy Plums	99	Fresh Fruit	Fruit	Produce	Food	10.6	Tri-State	Rowan Warehouse
35	42115001	Tri-State Firm Tofu	67	Tofu	Packaged Vegetables	Produce	Food	11.6	Tri-State	Rowan Warehouse
36	42116001	Tri-State Fresh Lima Beans	13	Fresh Vegetables	Vegetables	Produce	Food	17.7	Tri-State	Rowan Warehouse
37	42117001	Tri-State Fuji Apples	99	Fresh Fruit	Fruit	Produce	Food	11.1	Tri-State	Rowan Warehouse
38	42118001	Tri-State Garlic	13	Fresh Vegetables	Vegetables	Produce	Food	14.1	Tri-State	Rowan Warehouse
39	42119001	Tri-State Golden Delcious Apples	99	Fresh Fruit	Fruit	Produce	Food	4.61	Tri-State	Rowan Warehouse
40	42120001	Tri-State Green Pepper	13	Fresh Vegetables	Vegetables	Produce	Food	10	Tri-State	Rowan Warehouse
41	42121001	Tri-State Honey Dew	99	Fresh Fruit	Fruit	Produce	Food	7.61	Tri-State	Rowan Warehouse
42	42122001	Tri-State Lemons	99	Fresh Fruit	Fruit	Produce	Food	16.1	Tri-State	Rowan Warehouse
43	42123001	Tri-State Lettuce	13	Fresh Vegetables	Vegetables	Produce	Food	5.65	Tri-State	Rowan Warehouse
44	42124001	Tri-State Limes	99	Fresh Fruit	Fruit	Produce	Food	12.6	Tri-State	Rowan Warehouse
45	42125001	Tri-State Macintosh Apples	99	Fresh Fruit	Fruit	Produce	Food	20	Tri-State	Rowan Warehouse
46	42126001	Tri-State Mandarin Oranges	99	Fresh Fruit	Fruit	Produce	Food	13.1	Tri-State	Rowan Warehouse
47	42127001	Tri-State Mixed Nuts	1	Nuts	Specialty	Produce	Food	7.68	Tri-State	Rowan Warehouse
48	42128001	Tri-State Mushrooms	13	Fresh Vegetables	Vegetables	Produce	Food	15.1	Tri-State	Rowan Warehouse
49	42129001	Tri-State New Potatos	13	Fresh Vegetables	Vegetables	Produce	Food	14.5	Tri-State	Rowan Warehouse
50	42130001	Tri-State Onions	13	Fresh Vegetables	Vegetables	Produce	Food	13.8	Tri-State	Rowan Warehouse
51	42131001	Tri-State Oranges	99	Fresh Fruit	Fruit	Produce	Food	7.1	Tri-State	Rowan Warehouse
52	42132001	Tri-State Party Nuts	1	Nuts	Specialty	Produce	Food	12.6	Tri-State	Rowan Warehouse
53	42133001	Tri-State Peaches	99	Fresh Fruit	Fruit	Produce	Food	8.5	Tri-State	Rowan Warehouse
54	42134001	Tri-State Plums	99	Fresh Fruit	Fruit	Produce	Food	7.36	Tri-State	Rowan Warehouse
55	42135001	Tri-State Potatos	13	Fresh Vegetables	Vegetables	Produce	Food	6.17	Tri-State	Rowan Warehouse
56	42136001	Tri-State Prepared Salad	13	Fresh Vegetables	Vegetables	Produce	Food	4.65	Tri-State	Rowan Warehouse
57	42137001	Tri-State Red Delcious Apples	99	Fresh Fruit	Fruit	Produce	Food	11.6	Tri-State	Rowan Warehouse
58	42138001	Tri-State Red Pepper	13	Fresh Vegetables	Vegetables	Produce	Food	6.55	Tri-State	Rowan Warehouse
59	42139001	Tri-State Shitake Mushrooms	13	Fresh Vegetables	Vegetables	Produce	Food	9.89	Tri-State	Rowan Warehouse
60	42140001	Tri-State Squash	13	Fresh Vegetables	Vegetables	Produce	Food	11	Tri-State	Rowan Warehouse
61	42141001	Tri-State Summer Squash	13	Fresh Vegetables	Vegetables	Produce	Food	17.2	Tri-State	Rowan Warehouse
62	42142001	Tri-State Sweet Onion	13	Fresh Vegetables	Vegetables	Produce	Food	20.3	Tri-State	Rowan Warehouse
63	42143001	Tri-State Sweet Peas	13	Fresh Vegetables	Vegetables	Produce	Food	18.8	Tri-State	Rowan Warehouse
64	42144001	Tri-State Tangerines	99	Fresh Fruit	Fruit	Produce	Food	14.6	Tri-State	Rowan Warehouse
65	42145001	Tri-State Tomatos	13	Fresh Vegetables	Vegetables	Produce	Food	18.6	Tri-State	Rowan Warehouse
66	42146001	Tri-State Walnuts	1	Nuts	Specialty	Produce	Food	16.7	Tri-State	Rowan Warehouse
67	42147001	Toucan Canned Mixed Fruit	3	Canned Fruit	Fruit	Canned Foods	Food	15.8	Toucan	Rowan Warehouse
68	42148001	Toucan Canned Peaches	3	Canned Fruit	Fruit	Canned Foods	Food	15.7	Toucan	Rowan Warehouse
69	42149001	Diapers Size 3	213	Diapers	Paper Products	Household	Non-Consumable	36 ct	Tippy Toes	Rowan Warehouse
70	42150001	Diapers Size 3	213	Diapers	Paper Products	Household	Non-Consumable	84 ct	Tippy Toes	Rowan Warehouse
71	42151001	Diapers Size 3	213	Diapers	Paper Products	Household	Non-Consumable	96 ct	Tippy Toes	Rowan Warehouse
72	42152001	Diapers Size 4	213	Diapers	Paper Products	Household	Non-Consumable	31 ct	Tippy Toes	Rowan Warehouse
73	42153001	Diapers Size 4	213	Diapers	Paper Products	Household	Non-Consumable	72 ct	Tippy Toes	Rowan Warehouse
74	42154001	Diapers Size 5	213	Diapers	Paper Products	Household	Non-Consumable	27 ct	Tippy Toes	Rowan Warehouse
75	42155001	Diapers Size 5	213	Diapers	Paper Products	Household	Non-Consumable	70 ct	Tippy Toes	Rowan Warehouse
76	42156001	Tip Top Lox	24	Fresh Fish	Seafood	Seafood	Food	11.1	Tip Top	Rowan Warehouse
77	42157001	Thresher Malted Milk Balls	36	Chocolate Candy	Candy	Snack Foods	Food	8.3	Thresher	Rowan Warehouse
78	42158001	Thresher Mint Chocolate Bar	36	Chocolate Candy	Candy	Snack Foods	Food	17.8	Thresher	Rowan Warehouse
79	42159001	Thresher Mints	38	Hard Candy	Candy	Snack Foods	Food	5.19	Thresher	Rowan Warehouse
80	42160001	Thresher Semi-Sweet Chocolate Bar	36	Chocolate Candy	Candy	Snack Foods	Food	17.7	Thresher	Rowan Warehouse
81	42161001	Thresher Spicy Mints	38	Hard Candy	Candy	Snack Foods	Food	8.1	Thresher	Rowan Warehouse
82	42162001	Thresher Tasty Candy Bar	36	Chocolate Candy	Candy	Snack Foods	Food	16.5	Thresher	Rowan Warehouse
83	42163001	Thresher White Chocolate Bar	36	Chocolate Candy	Candy	Snack Foods	Food	9.5	Thresher	Rowan Warehouse
84	42164001	Bagel Thins 100% Whole Wheat	25	Bagels	Bread	Baked Goods	Food	13 oz	Thomas	Rowan Warehouse
85	42165001	Bagel Thins Cinnamon Raisin	25	Bagels	Bread	Baked Goods	Food	13 oz	Thomas	Rowan Warehouse
86	42166001	Bagel Thins Everything	25	Bagels	Bread	Baked Goods	Food	13 oz	Thomas	Rowan Warehouse
87	42167001	Bagel Thins Plain	25	Bagels	Bread	Baked Goods	Food	13 oz	Thomas	Rowan Warehouse
88	42168001	Bagels 100% Whole Wheat Mini	25	Bagels	Bread	Baked Goods	Food	20 oz	Thomas	Rowan Warehouse
89	42169001	Bagels Blueberry	25	Bagels	Bread	Baked Goods	Food	22 oz	Thomas	Rowan Warehouse
90	42170001	Bagels Cinnamon Raisin	25	Bagels	Bread	Baked Goods	Food	22 oz	Thomas	Rowan Warehouse
91	42171001	Bagels Cinnamon Raisin Mini	25	Bagels	Bread	Baked Goods	Food	20 oz	Thomas	Rowan Warehouse
92	42172001	Bagels Everything	25	Bagels	Bread	Baked Goods	Food	22 oz	Thomas	Rowan Warehouse
93	42173001	Bagels Hearty Grains Whole Wheat	25	Bagels	Bread	Baked Goods	Food	22 oz	Thomas	Rowan Warehouse
94	42174001	Bagels Plain	25	Bagels	Bread	Baked Goods	Food	22 oz	Thomas	Rowan Warehouse
95	42175001	Bagels Plain Mini	25	Bagels	Bread	Baked Goods	Food	20 oz	Thomas	Rowan Warehouse
96	42176001	Bagels Plain Whole Grain	25	Bagels	Bread	Baked Goods	Food	22 oz	Thomas	Rowan Warehouse
97	42177001	English Muffins Double Fiber Honey Wheat	26	Muffins	Bread	Baked Goods	Food	12 oz	Thomas	Rowan Warehouse
98	42178001	English Muffins Hearty Grains 100% Whole Wheat	26	Muffins	Bread	Baked Goods	Food	13 oz	Thomas	Rowan Warehouse
99	42179001	English Muffins Multi Grain Light	26	Muffins	Bread	Baked Goods	Food	12 oz	Thomas	Rowan Warehouse
100	42180001	English Muffins Original	26	Muffins	Bread	Baked Goods	Food	12 oz	Thomas	Rowan Warehouse
101	42181001	English Muffins Original	26	Muffins	Bread	Baked Goods	Food	24 oz	Thomas	Rowan Warehouse
102	42182001	English Muffins Original Whole Grain With Omega 3	26	Muffins	Bread	Baked Goods	Food	12 oz	Thomas	Rowan Warehouse
103	42183001	English Muffins Raisin	26	Muffins	Bread	Baked Goods	Food	13 oz	Thomas	Rowan Warehouse
104	42184001	English Muffins Triple Health	26	Muffins	Bread	Baked Goods	Food	11 oz	Thomas	Rowan Warehouse
105	42185001	Tell Tale Almonds	1	Nuts	Specialty	Produce	Food	8.5	Tell Tale	Rowan Warehouse
106	42186001	Tell Tale Asparagus	13	Fresh Vegetables	Vegetables	Produce	Food	6.35	Tell Tale	Rowan Warehouse
107	42187001	Tell Tale Baby Onion	13	Fresh Vegetables	Vegetables	Produce	Food	14	Tell Tale	Rowan Warehouse
108	42188001	Tell Tale Beets	13	Fresh Vegetables	Vegetables	Produce	Food	6.09	Tell Tale	Rowan Warehouse
109	42189001	Tell Tale Broccoli	13	Fresh Vegetables	Vegetables	Produce	Food	17.8	Tell Tale	Rowan Warehouse
110	42190001	Tell Tale Canned Peanuts	1	Nuts	Specialty	Produce	Food	6.86	Tell Tale	Rowan Warehouse
111	42191001	Tell Tale Cantelope	99	Fresh Fruit	Fruit	Produce	Food	15.1	Tell Tale	Rowan Warehouse
112	42192001	Tell Tale Cauliflower	13	Fresh Vegetables	Vegetables	Produce	Food	13.6	Tell Tale	Rowan Warehouse
113	42193001	Tell Tale Corn on the Cob	13	Fresh Vegetables	Vegetables	Produce	Food	10	Tell Tale	Rowan Warehouse
114	42194001	Tell Tale Dried Mushrooms	13	Fresh Vegetables	Vegetables	Produce	Food	15.1	Tell Tale	Rowan Warehouse
115	42195001	Tell Tale Elephant Garlic	13	Fresh Vegetables	Vegetables	Produce	Food	5.42	Tell Tale	Rowan Warehouse
116	42196001	Tell Tale Fancy Plums	99	Fresh Fruit	Fruit	Produce	Food	19	Tell Tale	Rowan Warehouse
117	42197001	Tell Tale Firm Tofu	67	Tofu	Packaged Vegetables	Produce	Food	16.1	Tell Tale	Rowan Warehouse
118	42198001	Tell Tale Fresh Lima Beans	13	Fresh Vegetables	Vegetables	Produce	Food	18.1	Tell Tale	Rowan Warehouse
119	42199001	Tell Tale Fuji Apples	99	Fresh Fruit	Fruit	Produce	Food	6.47	Tell Tale	Rowan Warehouse
120	42200001	Tell Tale Garlic	13	Fresh Vegetables	Vegetables	Produce	Food	6.22	Tell Tale	Rowan Warehouse
121	42201001	Tell Tale Golden Delcious Apples	99	Fresh Fruit	Fruit	Produce	Food	11.8	Tell Tale	Rowan Warehouse
122	42202001	Tell Tale Green Pepper	13	Fresh Vegetables	Vegetables	Produce	Food	11.3	Tell Tale	Rowan Warehouse
123	42203001	Tell Tale Honey Dew	99	Fresh Fruit	Fruit	Produce	Food	6.28	Tell Tale	Rowan Warehouse
124	42204001	Tell Tale Lemons	99	Fresh Fruit	Fruit	Produce	Food	7.32	Tell Tale	Rowan Warehouse
125	42205001	Tell Tale Lettuce	13	Fresh Vegetables	Vegetables	Produce	Food	19.2	Tell Tale	Rowan Warehouse
126	42206001	Tell Tale Limes	99	Fresh Fruit	Fruit	Produce	Food	11.6	Tell Tale	Rowan Warehouse
127	42207001	Tell Tale Macintosh Apples	99	Fresh Fruit	Fruit	Produce	Food	18.3	Tell Tale	Rowan Warehouse
128	42208001	Tell Tale Mandarin Oranges	99	Fresh Fruit	Fruit	Produce	Food	19.7	Tell Tale	Rowan Warehouse
129	42209001	Tell Tale Mixed Nuts	1	Nuts	Specialty	Produce	Food	19.7	Tell Tale	Rowan Warehouse
130	42210001	Tell Tale Mushrooms	13	Fresh Vegetables	Vegetables	Produce	Food	11.8	Tell Tale	Rowan Warehouse
131	42211001	Tell Tale New Potatos	13	Fresh Vegetables	Vegetables	Produce	Food	12.8	Tell Tale	Rowan Warehouse
132	42212001	Tell Tale Onions	13	Fresh Vegetables	Vegetables	Produce	Food	13.3	Tell Tale	Rowan Warehouse
133	42213001	Tell Tale Oranges	99	Fresh Fruit	Fruit	Produce	Food	9.3	Tell Tale	Rowan Warehouse
134	42214001	Tell Tale Party Nuts	1	Nuts	Specialty	Produce	Food	9.3	Tell Tale	Rowan Warehouse
135	42215001	Tell Tale Peaches	99	Fresh Fruit	Fruit	Produce	Food	10	Tell Tale	Rowan Warehouse
136	42216001	Tell Tale Plums	99	Fresh Fruit	Fruit	Produce	Food	7.85	Tell Tale	Rowan Warehouse
137	42217001	Tell Tale Potatos	13	Fresh Vegetables	Vegetables	Produce	Food	10.1	Tell Tale	Rowan Warehouse
138	42218001	Tell Tale Prepared Salad	13	Fresh Vegetables	Vegetables	Produce	Food	7.77	Tell Tale	Rowan Warehouse
139	42219001	Tell Tale Red Delcious Apples	99	Fresh Fruit	Fruit	Produce	Food	18.8	Tell Tale	Rowan Warehouse
140	42220001	Tell Tale Red Pepper	13	Fresh Vegetables	Vegetables	Produce	Food	6.02	Tell Tale	Rowan Warehouse
141	42221001	Tell Tale Shitake Mushrooms	13	Fresh Vegetables	Vegetables	Produce	Food	18.6	Tell Tale	Rowan Warehouse
142	42222001	Tell Tale Squash	13	Fresh Vegetables	Vegetables	Produce	Food	20.2	Tell Tale	Rowan Warehouse
143	42223001	Tell Tale Summer Squash	13	Fresh Vegetables	Vegetables	Produce	Food	16.7	Tell Tale	Rowan Warehouse
144	42224001	Tell Tale Sweet Onion	13	Fresh Vegetables	Vegetables	Produce	Food	11.5	Tell Tale	Rowan Warehouse
145	42225001	Tell Tale Sweet Peas	13	Fresh Vegetables	Vegetables	Produce	Food	12.5	Tell Tale	Rowan Warehouse
146	42226001	Tell Tale Tangerines	99	Fresh Fruit	Fruit	Produce	Food	11.8	Tell Tale	Rowan Warehouse
147	42227001	Tell Tale Tomatos	13	Fresh Vegetables	Vegetables	Produce	Food	10.8	Tell Tale	Rowan Warehouse
148	42228001	Tell Tale Walnuts	1	Nuts	Specialty	Produce	Food	13.6	Tell Tale	Rowan Warehouse
149	42229001	Cake Dreamies Creme Kakes	250	Packaged Snacks	Snack Foods	Snack Foods	Food	14 oz	Tastykake	Rowan Warehouse
150	42230001	Cake Kandy Kake Peanut Butter	250	Packaged Snacks	Snack Foods	Snack Foods	Food	8 oz	Tastykake	Rowan Warehouse
151	42231001	Cake Koffee Kake Cream Filled	250	Packaged Snacks	Snack Foods	Snack Foods	Food	12 oz	Tastykake	Rowan Warehouse
152	42232001	Cupcakes Buttercream	250	Packaged Snacks	Snack Foods	Snack Foods	Food	13.5 oz	Tastykake	Rowan Warehouse
153	42233001	Cupcakes Chocolate	250	Packaged Snacks	Snack Foods	Snack Foods	Food	12.75 oz	Tastykake	Rowan Warehouse
154	42234001	Cupcakes Krimpet Butterscotch	250	Packaged Snacks	Snack Foods	Snack Foods	Food	12 oz	Tastykake	Rowan Warehouse
155	42235001	Cupcakes Lemon	250	Packaged Snacks	Snack Foods	Snack Foods	Food	12.75 oz	Tastykake	Rowan Warehouse
156	42236001	Pie Apple	250	Packaged Snacks	Snack Foods	Snack Foods	Food	4 oz	Tastykake	Rowan Warehouse
157	42237001	Pie Cherry	250	Packaged Snacks	Snack Foods	Snack Foods	Food	4 oz	Tastykake	Rowan Warehouse
158	42238001	Pie Chocolate Klair	250	Packaged Snacks	Snack Foods	Snack Foods	Food	4 oz	Tastykake	Rowan Warehouse
159	42239001	Pie Lemon	250	Packaged Snacks	Snack Foods	Snack Foods	Food	4 oz	Tastykake	Rowan Warehouse
160	42240001	Pie Peach	250	Packaged Snacks	Snack Foods	Snack Foods	Food	4 oz	Tastykake	Rowan Warehouse
161	42241001	Hot Cocoa Mix Marshmallows	51	Chocolate	Hot Beverages	Beverages	Drink	10 pkg	Swiss Miss	Rowan Warehouse
162	42242001	Hot Cocoa Mix Milk Chocolate	51	Chocolate	Hot Beverages	Beverages	Drink	10 pkg	Swiss Miss	Rowan Warehouse
163	42243001	Hot Cocoa Mix Milk Chocolate Canister	51	Chocolate	Hot Beverages	Beverages	Drink	28.5 oz	Swiss Miss	Rowan Warehouse
164	42244001	Hot Cocoa Mix Milk Chocolate No Sugar Added	51	Chocolate	Hot Beverages	Beverages	Drink	8 pkg	Swiss Miss	Rowan Warehouse
165	42245001	Swell Canned Mixed Fruit	3	Canned Fruit	Fruit	Canned Foods	Food	7.61	Swell	Rowan Warehouse
166	42246001	Swell Canned Peaches	3	Canned Fruit	Fruit	Canned Foods	Food	12.3	Swell	Rowan Warehouse
167	42247001	Super Brown Sugar	50	Sugar	Baking Goods	Baking Products	Food	7.25	Super	Rowan Warehouse
168	42248001	Super Canola Oil	49	Cooking Oil	Baking Goods	Baking Products	Food	7.89	Super	Rowan Warehouse
169	42249001	Super Chunky Peanut Butter	53	Peanut Butter	Jams and Jellies	Baking Products	Food	5.71	Super	Rowan Warehouse
170	42250001	Super Corn Oil	49	Cooking Oil	Baking Goods	Baking Products	Food	5.63	Super	Rowan Warehouse
171	42251001	Super Creamy Peanut Butter	53	Peanut Butter	Jams and Jellies	Baking Products	Food	15.2	Super	Rowan Warehouse
172	42252001	Super Extra Chunky Peanut Butter	53	Peanut Butter	Jams and Jellies	Baking Products	Food	17.7	Super	Rowan Warehouse
173	42253001	Super Oregano	4	Spices	Baking Goods	Baking Products	Food	11.6	Super	Rowan Warehouse
174	42254001	Super Pepper	4	Spices	Baking Goods	Baking Products	Food	15.7	Super	Rowan Warehouse
175	42255001	Super Salt	4	Spices	Baking Goods	Baking Products	Food	14.7	Super	Rowan Warehouse
176	42256001	Super Sesame Oil	49	Cooking Oil	Baking Goods	Baking Products	Food	14.5	Super	Rowan Warehouse
177	42257001	Super Vegetable Oil	49	Cooking Oil	Baking Goods	Baking Products	Food	7.23	Super	Rowan Warehouse
178	42258001	Super White Sugar	50	Sugar	Baking Goods	Baking Products	Food	10.6	Super	Rowan Warehouse
179	42259001	Sunset Counter Cleaner	21	Cleaners	Cleaning Supplies	Household	Non-Consumable	18	Sunset	Rowan Warehouse
180	42260001	Sunset Glass Cleaner	21	Cleaners	Cleaning Supplies	Household	Non-Consumable	14.3	Sunset	Rowan Warehouse
181	42261001	Sunset Room Freshener	20	Deodorizers	Cleaning Supplies	Household	Non-Consumable	13.6	Sunset	Rowan Warehouse
182	42262001	Sunset Toilet Bowl Cleaner	21	Cleaners	Cleaning Supplies	Household	Non-Consumable	19.8	Sunset	Rowan Warehouse
183	42263001	Sunny Delight Original	52	Flavored Drinks	Drinks	Beverages	Drink	6 pkg	Sunny Delight Drinks	Rowan Warehouse
184	42264001	Orange Citrus Punch Smooth	52	Flavored Drinks	Drinks	Beverages	Drink	64 oz	Sunny D	Rowan Warehouse
185	42265001	Orange Citrus Punch Tangy Original	52	Flavored Drinks	Drinks	Beverages	Drink	8 pkg	Sunny D	Rowan Warehouse
186	42266001	Bread Raisin	27	Sliced Bread	Bread	Baked Goods	Food	16 oz	Sun-Maid	Rowan Warehouse
187	42267001	Giant Bread	27	Sliced Bread	Bread	Baked Goods	Food	24 oz	Sunbeam	Rowan Warehouse
188	42268001	BBQ Sauce Original	48	Sauces	Baking Goods	Baking Products	Food	18 oz	Stubbs	Rowan Warehouse
189	42269001	Bread Honey Wheat	27	Sliced Bread	Bread	Baked Goods	Food	22 oz	Stroehmann	Rowan Warehouse
190	42270001	Stuffing Mix Pork	255	Baking Mixes	Baking Goods	Baking Products	Food	6 oz	Stove Top	Rowan Warehouse
191	42271001	Lasagna With Meat And Sauce Pasta	10	TV Dinner	Frozen Entrees	Frozen Foods	Food	38 oz	Stouffer's	Rowan Warehouse
192	42272001	Sandwich Steaks Thin Sliced	8	Deli Meats	Meat	Deli	Food	21 oz	Steakumm	Rowan Warehouse
193	42273001	Steady 200 MG Acetominifen	72	Acetominifen	Pain Relievers	Health and Hygiene	Non-Consumable	4.32	Steady	Rowan Warehouse
194	42274001	Steady 200 MG Ibuprofen	71	Ibuprofen	Pain Relievers	Health and Hygiene	Non-Consumable	9.8	Steady	Rowan Warehouse
195	42275001	Steady Buffered Aspirin	70	Aspirin	Pain Relievers	Health and Hygiene	Non-Consumable	18.1	Steady	Rowan Warehouse
196	42276001	Steady Childrens Aspirin	70	Aspirin	Pain Relievers	Health and Hygiene	Non-Consumable	8.8	Steady	Rowan Warehouse
197	42277001	Steady Mint Mouthwash	74	Mouthwash	Bathroom Products	Health and Hygiene	Non-Consumable	20.1	Steady	Rowan Warehouse
198	42278001	Chunk Light Tuna Water (pouch)	93	Tuna	Canned Tuna	Canned Foods	Food	7.06 oz	Starkist	Rowan Warehouse
199	42279001	Coffee Blonde Veranda	90	Coffee	Hot Beverages	Beverages	Drink	20 oz	Starbucks	Rowan Warehouse
200	42280001	Coffee Breakfast Blend	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
201	42281001	Coffee Caffe Verona	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
202	42282001	Coffee Caffe Verona Decaf	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
203	42283001	Coffee Caramel	90	Coffee	Hot Beverages	Beverages	Drink	11 oz	Starbucks	Rowan Warehouse
204	42284001	Coffee Colombia	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
205	42285001	Coffee Espresso	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
206	42286001	Coffee French Roast	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
207	42287001	Coffee French Roast	90	Coffee	Hot Beverages	Beverages	Drink	20 oz	Starbucks	Rowan Warehouse
208	42288001	Coffee Gold Coast Blend	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
209	42289001	Coffee House Blend	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
210	42290001	Coffee House Blend	90	Coffee	Hot Beverages	Beverages	Drink	20 oz	Starbucks	Rowan Warehouse
211	42291001	Coffee House Blend Decaf	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
212	42292001	Coffee Italian	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
213	42293001	Coffee Mocha	90	Coffee	Hot Beverages	Beverages	Drink	11 oz	Starbucks	Rowan Warehouse
214	42294001	Coffee Pike Place	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
215	42295001	Coffee Sumatra	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
216	42296001	Coffee Veranda Blend	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
217	42297001	Coffee Willow Blend	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
218	42298001	Coffee Willow Blend Decaf	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Starbucks	Rowan Warehouse
219	42299001	Hot Cocoa Mix Premium Double Chocolate	51	Chocolate	Hot Beverages	Beverages	Drink	8 pkg	Starbucks	Rowan Warehouse
